@relation bank_clustered

@attribute Instance_number numeric
@attribute age numeric
@attribute sex {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income numeric
@attribute married {NO,YES}
@attribute children {0,1,2,3}
@attribute car {NO,YES}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
104,64,FEMALE,INNER_CITY,34513.6,YES,1,NO,YES,YES,NO,YES,cluster2
105,43,MALE,TOWN,32395.5,YES,3,YES,YES,YES,NO,NO,cluster5
106,49,MALE,RURAL,46633,YES,0,YES,YES,NO,NO,NO,cluster1
107,23,MALE,INNER_CITY,13039.9,YES,0,NO,NO,YES,NO,NO,cluster3
108,23,MALE,INNER_CITY,12681.9,NO,0,NO,YES,YES,NO,YES,cluster0
109,30,FEMALE,INNER_CITY,24031.5,YES,2,YES,YES,YES,YES,NO,cluster1
110,36,MALE,TOWN,37330.5,NO,2,NO,YES,YES,NO,YES,cluster5
111,34,MALE,INNER_CITY,25333.2,YES,3,YES,NO,NO,YES,NO,cluster4
112,51,FEMALE,INNER_CITY,37094.2,YES,0,YES,NO,YES,NO,NO,cluster2
113,36,MALE,TOWN,33630.6,NO,2,YES,YES,YES,NO,YES,cluster5
114,56,MALE,INNER_CITY,43228.2,YES,1,YES,YES,YES,NO,YES,cluster5
115,54,FEMALE,INNER_CITY,47796.8,YES,0,NO,YES,YES,NO,NO,cluster3
116,56,FEMALE,TOWN,21730.3,YES,2,NO,YES,NO,NO,NO,cluster1
117,26,MALE,INNER_CITY,10044.1,YES,3,NO,YES,YES,YES,NO,cluster0
118,39,MALE,TOWN,17270.1,NO,0,YES,NO,NO,NO,YES,cluster5
119,64,FEMALE,RURAL,45765,YES,3,YES,YES,YES,NO,YES,cluster1
120,46,MALE,RURAL,29525.5,NO,2,NO,YES,NO,YES,NO,cluster1
121,62,FEMALE,RURAL,54863.8,YES,1,YES,YES,YES,NO,YES,cluster2
122,36,FEMALE,TOWN,20799,YES,1,NO,YES,NO,YES,YES,cluster3
123,35,FEMALE,RURAL,33028.3,NO,1,NO,YES,YES,NO,YES,cluster0
124,47,MALE,RURAL,45031.9,NO,3,YES,YES,NO,NO,YES,cluster5
125,47,MALE,INNER_CITY,39010.8,YES,2,NO,NO,YES,NO,YES,cluster2
126,37,FEMALE,TOWN,25257.7,YES,0,YES,YES,YES,NO,NO,cluster3
127,48,FEMALE,INNER_CITY,42603.9,YES,0,NO,YES,YES,NO,NO,cluster3
128,41,MALE,TOWN,14092.7,YES,3,YES,YES,YES,NO,NO,cluster3
129,27,FEMALE,RURAL,21350.3,NO,0,YES,YES,YES,NO,YES,cluster5
130,43,MALE,INNER_CITY,23246.4,NO,2,NO,NO,YES,NO,NO,cluster0
131,61,MALE,RURAL,41609.5,YES,3,NO,YES,YES,YES,NO,cluster1
132,52,FEMALE,SUBURBAN,16716.1,NO,2,YES,YES,YES,NO,NO,cluster1
133,64,FEMALE,SUBURBAN,36436.4,YES,0,YES,NO,YES,NO,NO,cluster3
134,66,FEMALE,TOWN,59503.8,YES,2,YES,YES,YES,YES,YES,cluster5
135,53,FEMALE,TOWN,31334.8,YES,1,YES,YES,YES,NO,YES,cluster2
136,20,FEMALE,INNER_CITY,14048.9,YES,2,YES,NO,YES,YES,NO,cluster4
137,57,FEMALE,INNER_CITY,39205.3,NO,0,NO,YES,YES,NO,YES,cluster0
138,65,FEMALE,RURAL,42173.9,YES,0,NO,YES,YES,NO,NO,cluster1
139,64,FEMALE,INNER_CITY,55263,NO,1,NO,YES,YES,NO,YES,cluster2
140,52,MALE,INNER_CITY,37095.2,YES,3,NO,YES,YES,NO,NO,cluster0
141,47,FEMALE,INNER_CITY,22791.4,YES,0,NO,NO,YES,NO,NO,cluster2
142,28,FEMALE,TOWN,17240.6,YES,1,YES,NO,NO,YES,NO,cluster3
143,64,MALE,TOWN,48974.8,YES,0,YES,YES,YES,YES,NO,cluster4
144,25,MALE,INNER_CITY,18923,YES,1,NO,YES,YES,NO,YES,cluster2
145,58,MALE,SUBURBAN,51204.2,YES,0,NO,YES,NO,YES,YES,cluster4
146,34,MALE,TOWN,20236.2,YES,2,YES,NO,YES,NO,NO,cluster5
147,20,FEMALE,INNER_CITY,18860.3,NO,2,NO,YES,YES,NO,NO,cluster0
148,63,MALE,RURAL,25732.5,YES,0,YES,YES,NO,NO,NO,cluster1
149,30,FEMALE,SUBURBAN,28240.4,YES,3,YES,YES,YES,NO,NO,cluster0
150,53,MALE,RURAL,28193.6,YES,1,YES,YES,YES,NO,YES,cluster5
151,43,MALE,TOWN,36432.8,NO,2,YES,NO,YES,NO,YES,cluster5
152,63,MALE,TOWN,54618.8,YES,2,NO,YES,NO,YES,YES,cluster5
153,33,MALE,INNER_CITY,24760.8,YES,1,NO,YES,YES,YES,YES,cluster4
154,41,MALE,RURAL,23356.1,NO,2,YES,NO,NO,NO,NO,cluster5
155,20,FEMALE,SUBURBAN,8143.75,YES,2,NO,YES,YES,NO,YES,cluster1
156,50,MALE,TOWN,26462.5,YES,0,YES,YES,YES,NO,NO,cluster3
157,24,MALE,RURAL,20467.3,YES,2,YES,YES,YES,NO,NO,cluster1
158,60,FEMALE,TOWN,21506.2,YES,0,NO,NO,YES,NO,YES,cluster2
159,44,FEMALE,TOWN,15315.3,YES,1,NO,YES,YES,NO,YES,cluster3
160,23,MALE,INNER_CITY,18875.7,YES,2,YES,YES,YES,NO,NO,cluster1
161,40,FEMALE,INNER_CITY,12977.2,YES,0,NO,NO,NO,NO,NO,cluster3
162,49,FEMALE,TOWN,20708.5,NO,3,NO,NO,YES,NO,NO,cluster0
163,21,FEMALE,TOWN,7549.38,NO,1,YES,NO,YES,NO,NO,cluster0
164,40,FEMALE,INNER_CITY,24904,YES,0,NO,NO,NO,NO,NO,cluster3
165,26,MALE,RURAL,24071.8,YES,1,NO,NO,YES,YES,YES,cluster4
166,20,MALE,TOWN,9589.91,NO,1,NO,YES,YES,YES,NO,cluster0
167,24,MALE,INNER_CITY,8562.86,NO,1,NO,NO,NO,YES,NO,cluster0
168,37,FEMALE,TOWN,26707.5,NO,0,YES,YES,YES,NO,NO,cluster3
169,56,MALE,INNER_CITY,34020.5,YES,0,NO,NO,YES,NO,NO,cluster2
170,52,MALE,INNER_CITY,49175.7,YES,0,YES,YES,YES,NO,NO,cluster4
171,22,MALE,INNER_CITY,19726.3,YES,2,NO,NO,YES,NO,NO,cluster1
172,35,MALE,INNER_CITY,24346.6,YES,3,YES,YES,YES,NO,NO,cluster0
173,34,MALE,RURAL,26999.4,YES,1,YES,YES,YES,NO,YES,cluster5
174,67,FEMALE,TOWN,41558.1,YES,2,NO,YES,YES,NO,YES,cluster1
175,58,FEMALE,INNER_CITY,56340.3,NO,0,NO,YES,YES,NO,YES,cluster0
176,40,MALE,TOWN,37558.5,YES,0,YES,YES,YES,NO,NO,cluster3
177,41,FEMALE,INNER_CITY,30099.3,YES,0,YES,YES,YES,YES,YES,cluster4
178,43,MALE,INNER_CITY,15254.8,YES,0,NO,NO,NO,NO,YES,cluster4
179,63,MALE,INNER_CITY,36086.1,YES,2,NO,NO,YES,NO,YES,cluster2
180,22,FEMALE,INNER_CITY,17655,YES,1,NO,YES,YES,YES,YES,cluster2
181,60,MALE,RURAL,56658.9,NO,0,NO,YES,YES,NO,YES,cluster5
182,65,FEMALE,INNER_CITY,37706.5,NO,0,YES,YES,YES,YES,NO,cluster0
183,48,FEMALE,INNER_CITY,18516,YES,2,YES,YES,YES,YES,NO,cluster1
184,38,FEMALE,INNER_CITY,29622,NO,0,YES,YES,NO,YES,NO,cluster0
185,49,MALE,RURAL,32669.9,YES,1,YES,YES,YES,YES,YES,cluster4
186,20,FEMALE,INNER_CITY,18275.5,YES,0,NO,NO,NO,YES,YES,cluster4
187,48,FEMALE,TOWN,34410,YES,1,NO,NO,YES,NO,YES,cluster2
188,38,MALE,INNER_CITY,34866.9,YES,2,YES,NO,YES,YES,NO,cluster4
189,41,FEMALE,INNER_CITY,21796.6,YES,0,NO,NO,YES,NO,NO,cluster3
190,67,FEMALE,SUBURBAN,63130.1,YES,2,YES,YES,YES,NO,YES,cluster5
191,39,MALE,INNER_CITY,14996.4,YES,1,YES,YES,NO,NO,NO,cluster0
192,64,FEMALE,RURAL,49024.9,YES,3,NO,YES,YES,NO,YES,cluster1
193,41,MALE,INNER_CITY,16249.8,YES,0,YES,NO,YES,YES,YES,cluster4
194,55,MALE,SUBURBAN,36192.1,YES,2,YES,NO,YES,NO,YES,cluster5
195,52,MALE,INNER_CITY,17839.9,YES,1,NO,YES,NO,YES,YES,cluster2
196,30,FEMALE,INNER_CITY,18802.4,NO,0,NO,NO,YES,YES,YES,cluster4
197,52,MALE,INNER_CITY,48720.3,YES,2,YES,YES,YES,NO,YES,cluster5
198,26,MALE,INNER_CITY,14585.9,NO,2,NO,NO,YES,YES,NO,cluster0
199,26,FEMALE,INNER_CITY,20819,YES,0,NO,YES,YES,NO,YES,cluster3
200,46,MALE,TOWN,26077.8,YES,1,YES,YES,YES,NO,YES,cluster5
201,46,FEMALE,TOWN,41627.1,YES,0,NO,YES,YES,YES,NO,cluster3
202,52,MALE,INNER_CITY,16977.3,YES,0,NO,NO,YES,NO,NO,cluster2
203,37,MALE,INNER_CITY,19012.8,NO,3,YES,NO,YES,NO,NO,cluster0
204,22,MALE,INNER_CITY,12764.8,YES,1,NO,YES,YES,YES,YES,cluster4
205,18,MALE,INNER_CITY,14388.6,NO,0,YES,NO,YES,YES,YES,cluster4
206,63,MALE,INNER_CITY,59409.1,NO,0,YES,YES,YES,NO,YES,cluster5
207,25,FEMALE,INNER_CITY,14960.2,YES,0,NO,YES,YES,YES,NO,cluster3
208,67,MALE,INNER_CITY,39666.6,YES,0,YES,YES,YES,NO,NO,cluster4
209,27,MALE,INNER_CITY,20771.9,NO,0,NO,YES,NO,NO,YES,cluster0
210,61,MALE,INNER_CITY,24474.1,NO,0,YES,NO,NO,NO,YES,cluster4
211,58,MALE,TOWN,33123.7,YES,1,YES,YES,YES,NO,YES,cluster5
212,22,MALE,INNER_CITY,14433.4,YES,0,YES,YES,YES,NO,YES,cluster4
213,28,MALE,TOWN,13175.5,NO,1,NO,NO,YES,NO,YES,cluster2
214,23,MALE,INNER_CITY,9824.37,YES,0,NO,YES,YES,NO,NO,cluster3
215,27,MALE,SUBURBAN,17610.3,YES,0,NO,YES,YES,NO,NO,cluster3
216,27,FEMALE,SUBURBAN,15156.2,YES,0,YES,NO,YES,NO,NO,cluster3
217,40,FEMALE,INNER_CITY,31774.1,YES,3,YES,YES,YES,YES,NO,cluster0
218,39,MALE,TOWN,31693.5,NO,0,YES,YES,NO,NO,YES,cluster5
219,35,FEMALE,INNER_CITY,28598.7,YES,0,YES,YES,YES,NO,NO,cluster3
220,37,FEMALE,INNER_CITY,26261.7,NO,2,YES,NO,NO,NO,NO,cluster0
221,47,MALE,INNER_CITY,42124.1,YES,2,NO,YES,YES,NO,YES,cluster5
222,42,FEMALE,INNER_CITY,39308.7,YES,1,NO,YES,YES,NO,YES,cluster2
223,67,FEMALE,INNER_CITY,43530,YES,0,NO,YES,YES,YES,NO,cluster3
224,57,MALE,RURAL,49874.4,YES,3,NO,YES,YES,NO,YES,cluster1
225,47,FEMALE,RURAL,27434.8,NO,0,YES,YES,YES,NO,YES,cluster5
226,67,MALE,INNER_CITY,50474.6,YES,2,YES,YES,YES,NO,YES,cluster5
227,56,MALE,TOWN,24888.2,NO,0,NO,YES,YES,NO,YES,cluster5
228,37,MALE,RURAL,28021.6,NO,0,YES,NO,YES,YES,YES,cluster4
229,27,MALE,INNER_CITY,12279.5,NO,0,YES,NO,NO,NO,YES,cluster4
230,59,FEMALE,INNER_CITY,30189.4,YES,0,YES,NO,YES,YES,YES,cluster4
231,31,MALE,INNER_CITY,28969.4,NO,1,NO,NO,YES,YES,NO,cluster0
232,31,MALE,SUBURBAN,14058.5,YES,0,NO,NO,YES,YES,YES,cluster4
233,32,FEMALE,TOWN,30404.3,YES,0,YES,YES,YES,NO,NO,cluster3
234,57,FEMALE,RURAL,41438.2,NO,3,NO,YES,NO,NO,NO,cluster0
235,49,FEMALE,INNER_CITY,16711.3,NO,1,NO,YES,YES,YES,YES,cluster2
236,65,MALE,TOWN,52255.9,NO,2,YES,YES,YES,NO,YES,cluster5
237,22,FEMALE,INNER_CITY,17866.9,YES,2,NO,YES,YES,YES,NO,cluster1
238,26,FEMALE,RURAL,18067.5,YES,2,NO,YES,NO,NO,NO,cluster1
239,23,MALE,INNER_CITY,12823.7,YES,0,YES,YES,YES,NO,NO,cluster3
240,26,FEMALE,RURAL,11299.3,YES,2,YES,NO,NO,NO,NO,cluster1
241,59,FEMALE,INNER_CITY,56031.1,NO,0,YES,YES,YES,NO,YES,cluster5
242,67,MALE,INNER_CITY,35263.5,YES,1,YES,YES,YES,NO,YES,cluster5
243,34,FEMALE,INNER_CITY,19968.1,YES,0,YES,YES,YES,NO,NO,cluster3
244,50,MALE,RURAL,27825.5,YES,2,YES,YES,NO,NO,NO,cluster1
245,46,MALE,SUBURBAN,37773.9,NO,0,YES,YES,YES,YES,NO,cluster5
246,23,FEMALE,INNER_CITY,7606.25,NO,3,YES,NO,NO,NO,NO,cluster0
247,26,MALE,RURAL,21384.4,YES,0,NO,NO,YES,NO,NO,cluster3
248,40,MALE,TOWN,20347,YES,3,NO,YES,YES,NO,NO,cluster3
249,36,MALE,TOWN,21332.3,YES,3,YES,NO,YES,NO,NO,cluster3
250,65,MALE,INNER_CITY,57671.7,NO,0,NO,YES,YES,YES,NO,cluster0
251,45,FEMALE,TOWN,36057.8,YES,1,YES,YES,YES,YES,YES,cluster5
252,23,MALE,INNER_CITY,14290.5,YES,2,NO,NO,YES,YES,NO,cluster4
253,42,FEMALE,TOWN,17882.9,YES,1,NO,NO,NO,NO,YES,cluster2
254,21,FEMALE,RURAL,10629.1,NO,3,NO,YES,YES,YES,NO,cluster0
255,62,FEMALE,INNER_CITY,24262.8,NO,0,YES,NO,YES,NO,YES,cluster2
256,49,FEMALE,SUBURBAN,26097.9,NO,2,NO,YES,YES,NO,NO,cluster1
257,28,FEMALE,TOWN,23371,YES,2,NO,NO,YES,YES,NO,cluster3
258,38,FEMALE,TOWN,21495.6,NO,3,NO,NO,YES,YES,NO,cluster0
259,36,MALE,TOWN,12166.9,NO,0,NO,NO,NO,NO,NO,cluster3
260,22,MALE,SUBURBAN,17180.2,YES,0,NO,YES,YES,NO,NO,cluster3
261,40,FEMALE,TOWN,28882.3,YES,1,NO,YES,YES,YES,YES,cluster3
262,40,FEMALE,TOWN,21612.2,YES,0,NO,NO,YES,NO,NO,cluster3
263,60,FEMALE,INNER_CITY,46358.4,YES,0,YES,YES,YES,YES,NO,cluster4
264,23,MALE,INNER_CITY,19166,NO,0,YES,YES,NO,NO,YES,cluster5
265,21,MALE,INNER_CITY,17921.8,YES,1,YES,NO,NO,NO,YES,cluster4
266,58,MALE,TOWN,33229,NO,0,YES,YES,YES,NO,YES,cluster5
267,48,FEMALE,SUBURBAN,30396.1,NO,0,NO,YES,YES,NO,YES,cluster3
268,63,FEMALE,TOWN,34625.2,YES,0,YES,NO,YES,NO,NO,cluster3
269,20,MALE,TOWN,16672.8,NO,3,YES,NO,YES,YES,NO,cluster4
270,67,FEMALE,SUBURBAN,60747.5,NO,2,NO,YES,YES,YES,YES,cluster5
271,62,FEMALE,INNER_CITY,56394.3,NO,0,YES,YES,YES,NO,YES,cluster5
272,36,MALE,TOWN,13236.4,YES,0,NO,YES,YES,NO,NO,cluster3
273,31,MALE,INNER_CITY,28409.4,YES,1,YES,NO,YES,NO,YES,cluster4
274,42,FEMALE,INNER_CITY,27056.5,YES,0,YES,YES,YES,NO,NO,cluster3
275,18,MALE,RURAL,9362.58,YES,0,YES,NO,YES,YES,YES,cluster4
276,46,FEMALE,SUBURBAN,28702.7,NO,1,NO,YES,YES,YES,YES,cluster2
277,25,MALE,TOWN,22366.1,YES,1,YES,YES,YES,NO,YES,cluster5
278,65,FEMALE,RURAL,24477.5,NO,0,NO,YES,NO,YES,NO,cluster1
279,40,MALE,TOWN,36972.4,YES,1,NO,NO,YES,YES,YES,cluster4
280,32,MALE,INNER_CITY,22327.8,YES,1,NO,NO,NO,NO,YES,cluster2
281,18,FEMALE,INNER_CITY,15610.2,YES,0,NO,YES,YES,NO,NO,cluster3
282,64,MALE,INNER_CITY,54314.5,YES,1,YES,YES,NO,NO,YES,cluster5
283,43,FEMALE,INNER_CITY,39175.8,YES,3,NO,YES,YES,YES,NO,cluster0
284,22,FEMALE,INNER_CITY,13739,YES,3,NO,YES,YES,NO,NO,cluster0
285,25,MALE,TOWN,9485.84,YES,0,NO,NO,NO,NO,NO,cluster3
286,39,MALE,INNER_CITY,24675.7,YES,1,YES,YES,YES,YES,YES,cluster4
287,58,FEMALE,INNER_CITY,28253.6,YES,3,NO,NO,YES,NO,NO,cluster2
288,33,MALE,INNER_CITY,14136.5,YES,1,NO,YES,NO,NO,NO,cluster0
289,52,FEMALE,RURAL,37162.1,YES,1,YES,YES,YES,NO,YES,cluster2
290,23,MALE,INNER_CITY,13519.2,NO,0,NO,YES,YES,NO,YES,cluster0
291,44,FEMALE,INNER_CITY,39253.6,NO,0,YES,YES,NO,NO,YES,cluster5
292,51,MALE,RURAL,46323.8,YES,2,YES,YES,YES,YES,YES,cluster5
293,26,FEMALE,TOWN,20950.7,YES,0,NO,YES,YES,NO,NO,cluster3
294,42,MALE,TOWN,22495.7,YES,0,NO,YES,NO,YES,NO,cluster3
295,34,MALE,TOWN,32548.9,YES,0,YES,YES,YES,YES,NO,cluster4
296,54,FEMALE,RURAL,24583.4,NO,2,YES,YES,YES,YES,NO,cluster1
